City,Cloud Coverage (%),Humidity (%),Latitude,Longitude,Temp (F),Wind (mph)
port lincoln,56,92,-34.72,135.86,65.11,20.49
ruteng,20,92,-8.61,120.46,68.26,3.15
alghero,0,65,40.56,8.32,41.0,3.36
sao jose da coroa grande,88,84,-8.9,-35.15,79.51,9.31
cayenne,90,69,4.94,-52.33,80.6,8.05
axim,0,99,4.87,-2.24,81.13,9.75
vazhiny,0,72,60.96,34.04,-10.14,8.08
dauphin,1,55,51.15,-100.04,33.8,3.36
iqaluit,90,92,63.75,-68.52,14.0,2.24
rio gallegos,0,33,-51.62,-69.22,62.6,18.34
newark,1,30,40.74,-74.17,54.36,11.41
isabela,0,99,10.2,122.99,70.01,2.59
aykhal,48,37,65.95,111.51,-25.71,2.82
wabana,90,100,47.63,-52.95,28.4,21.92
kloulklubed,75,78,7.04,134.26,80.6,8.05
georgetown,20,58,6.8,-58.16,84.2,13.87
hami,80,63,42.84,93.51,31.45,3.71
shelburne,1,32,44.08,-80.2,54.77,21.92
skelleftea,0,76,64.75,20.95,-11.21,3.36
rawson,0,31,-43.3,-65.11,81.31,14.45
cortez,1,5,37.35,-108.58,51.8,9.17
mana,90,85,43.52,20.24,15.64,4.7
gilbues,32,39,-9.83,-45.34,88.87,6.96
belaya kholunitsa,56,77,58.84,50.85,-0.33,12.77
bandarbeyla,88,100,9.49,50.81,76.36,8.75
tilichiki,8,31,60.47,166.1,-21.61,3.49
grand gaube,40,78,-20.01,57.66,80.6,9.17
klaksvik,48,69,62.23,-6.59,33.8,6.93
iskateley,80,82,67.68,53.15,18.44,13.33
lai,0,39,27.82,91.75,31.27,1.59
quatre cocos,40,78,-20.21,57.76,80.6,9.17
bara,80,32,10.41,10.6,88.24,0.69
opole lubelskie,76,79,51.15,21.97,8.68,14.12
nishihara,1,80,35.74,139.53,39.27,6.73
changji,92,99,32.07,116.17,49.9,13.67
comodoro rivadavia,0,60,-45.87,-67.48,68.0,11.41
punta umbria,76,92,37.18,-6.97,58.18,17.47
ust-maya,56,41,60.42,134.54,-26.83,2.71
la rioja,36,44,-29.41,-66.86,85.22,3.04
vestmannaeyjar,88,97,63.44,-20.27,42.74,8.97
mahebourg,40,78,-20.41,57.7,80.6,9.17
pionerskiy,12,33,61.2,62.86,-22.33,4.94
kruisfontein,0,98,-34.0,24.73,64.3,5.73
slave lake,90,59,55.28,-114.77,33.8,28.86
hearst,76,69,49.69,-83.67,38.56,5.17
luderitz,0,82,-26.65,15.16,64.4,12.75
new haven,1,39,41.31,-72.93,51.96,14.99
kanniyakumari,0,100,8.08,77.57,81.49,22.5
halifax,20,38,44.65,-63.58,40.06,17.22
ossora,76,94,59.24,163.07,0.67,4.16
dryden,75,63,49.79,-92.84,26.6,11.41
koumac,12,87,-20.56,164.28,80.77,5.39
ondjiva,0,26,-17.07,15.73,73.75,8.08
navahrudak,76,74,53.59,25.82,5.71,16.69
balkanabat,92,97,39.51,54.36,47.2,3.27
upernavik,88,87,72.79,-56.15,14.08,9.75
saskylakh,12,62,71.97,114.09,-33.99,7.74
taldan,64,66,53.69,124.82,-9.42,4.61
xuddur,0,53,4.12,43.89,76.49,7.74
nome,90,83,30.04,-94.42,75.2,16.11
buta,80,89,2.79,24.73,76.99,2.37
san patricio,48,67,-26.98,-56.83,83.65,3.94
mwinilunga,48,95,-11.73,24.43,66.19,4.16
portree,0,100,57.41,-6.19,34.06,14.45
rio grande,76,79,-32.03,-52.1,77.89,8.3
heishan,92,73,41.69,122.12,20.87,4.05
nahariyya,20,100,33.01,35.09,63.22,3.6
ketchikan,90,86,55.34,-131.65,39.36,5.82
belyy yar,20,75,53.6,91.39,-16.61,2.24
abu samrah,44,90,35.3,37.18,47.24,6.85
byron bay,100,77,-28.65,153.62,69.8,8.05
shenjiamen,100,91,29.96,122.3,54.49,20.49
xai-xai,32,100,-25.04,33.64,76.45,7.63
novyy urengoy,8,69,66.08,76.63,-35.83,3.15
bereda,0,64,43.27,-7.54,39.2,9.17
kavieng,44,100,-2.57,150.8,82.48,4.83
parabel,64,44,58.71,81.5,-14.14,2.59
mazagao,75,70,-0.12,-51.29,87.8,8.05
katsuura,48,85,33.93,134.5,34.24,3.27
egvekinot,0,45,66.32,-179.17,-16.08,1.81
aracaju,20,70,-10.92,-37.08,84.2,13.87
sidi ali,36,91,36.1,0.42,51.16,6.4
ormara,32,92,25.21,64.64,70.42,5.95
dubbo,0,72,-32.25,148.6,62.6,8.05
beringovskiy,0,100,63.05,179.32,3.77,9.42
rongcheng,88,93,37.16,122.42,37.97,8.63
sri aman,75,94,1.24,111.46,73.4,4.7
beloha,56,80,-25.17,45.06,75.01,9.53
ajdabiya,76,32,30.75,20.22,64.39,11.43
mayumba,92,100,-3.44,10.65,75.64,10.2
le vauclin,40,54,14.55,-60.84,82.4,12.75
ribeira grande,40,81,38.52,-28.7,53.6,9.17
avanigadda,0,89,16.02,80.92,70.15,4.27
novokuznetsk,0,51,53.76,87.14,-17.97,3.6
gillette,1,63,44.29,-105.5,30.2,4.7
salisbury,0,85,51.07,-1.8,23.77,6.93
wilmington,1,27,39.75,-75.55,55.22,6.93
erie,1,24,42.13,-80.09,54.77,8.05
batsfjord,75,78,70.63,29.72,20.3,21.92
nikolskoye,0,64,59.7,30.79,1.4,13.42
sao filipe,0,100,14.9,-24.5,69.52,7.4
aykino,68,74,62.22,49.99,6.02,11.43
murliganj,0,92,25.9,86.99,62.05,2.82
paamiut,0,94,61.99,-49.67,26.05,16.46
atar,0,27,20.52,-13.05,66.41,6.17
yumen,36,62,40.29,97.04,22.63,2.71
linkoping,75,71,58.41,15.62,7.43,16.11
leland,1,54,41.61,-88.8,60.55,17.22
jishou,32,97,28.26,109.7,43.64,2.48
campo verde,40,70,-8.47,-74.81,86.0,4.7
sakiai,0,65,54.95,23.04,5.0,9.17
port alfred,36,93,-33.59,26.89,65.2,7.63
chokurdakh,56,55,70.62,147.9,-18.6,9.19
neumunster,75,53,54.07,9.98,20.3,13.87
tuatapere,0,99,-46.13,167.69,58.81,4.83
cao bang,20,95,22.67,106.25,58.63,2.59
san felipe,0,39,-32.75,-70.73,78.8,17.22
yellowknife,20,85,62.45,-114.38,12.2,5.82
bonavista,92,95,48.65,-53.11,30.82,23.06
lakes entrance,24,89,-37.88,147.99,65.2,6.85
mbandaka,8,97,0.05,18.26,72.4,3.71
san quintin,68,90,17.54,120.52,68.57,2.71
avarua,75,78,-21.21,-159.78,82.4,6.93
